[ 702] x= 29906, y= -13784
[ 703] x= 29906, y= -32767
[ 704] x=    0, y= -32767
[ 705] x=    0, y= -13784
[ 706] x=-29951, y= -13784
[ 707] x=-29951, y=     0
[ 708] x=-32767, y=     0
[ 709] x=-32767, y=  11776
[ 710] x=-30719, y=  11776
[ 711] x=-30719, y=  32767
[ 712] x=    0, y=  32767
[ 713] x=    0, y=  11776
[ 714] x= 30687, y=  11776
[ 715] x= 30687, y=     0
[ 716] x= 32767, y=     0
[ 717] x= 32767, y= -13784
[ 718] x= 29906, y= -13784
[ 719] x= 29906, y= -32767
[ 720] x=    0, y= -32767
[ 721] x=    0, y= -13784
[ 722] x=-29951, y= -13784
[ 723] x=-29951, y=     0
[ 724] x=-32767, y=     0
[ 725] x=-32767, y=  11776
[ 726] x=-30719, y=  11776
[ 727] x=-30719, y=  32767
[ 728] x=    0, y=  32767
[ 729] x=    0, y=  11776
[ 730] x= 30687, y=  11776
[ 731] x= 30687, y=     0
[ 732] x= 32767, y=     0
[ 733] x= 32767, y= -13784
[ 734] x= 29906, y= -13784
[ 735] x= 29906, y= -32767
[ 736] x=    0, y= -32767
[ 737] x=    0, y= -13784
[ 738] x=-29951, y= -13784
[ 739] x=-29951, y=     0
[ 740] x=-32767, y=     0
[ 741] x=-32767, y=  11776
[ 742] x=-30719, y=  11776
[ 743] x=-30719, y=  32767
[ 744] x=    0, y=  32767
[ 745] x=    0, y=  11776
[ 746] x= 30687, y=  11776
[ 747] x= 30687, y=     0
[ 748] x= 32767, y=     0
[ 749] x= 32767, y= -13784
[ 750] x= 29906, y= -13784
[ 751] x= 29906, y= -32767
[ 752] x=    0, y= -32767
[ 753] x=    0, y= -13784
[ 754] x=-29951, y= -13784
[ 755] x=-29951, y=     0
[ 756] x=-32767, y=     0
[ 757] x=-32767, y=  11776
[ 758] x=-30719, y=  11776
[ 759] x=-30719, y=  32767
[ 760] x=    0, y=  32767
[ 761] x=    0, y=  11776
[ 762] x= 30687, y=  11776
[ 763] x= 30687, y=     0
[ 764] x= 32767, y=     0
